"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"ICD Sub-Chapter"	"ICD Sub-Chapter Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"8 years"	"8"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	16	7926357	Unreliable
	"8 years"	"8"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	14	8281801	Unreliable
	"9 years"	"9"	"Transport accidents"	"V01-V99"	"Female"	"F"	136	7949593	1.7
	"9 years"	"9"	"Transport accidents"	"V01-V99"	"Male"	"M"	153	8304842	1.8
	"9 years"	"9"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	63	7949593	0.8
	"9 years"	"9"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	131	8304842	1.6
	"9 years"	"9"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	16	7949593	Unreliable
	"9 years"	"9"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	20	8304842	0.2
	"9 years"	"9"	"Assault"	"X85-Y09"	"Female"	"F"	42	7949593	0.5
	"9 years"	"9"	"Assault"	"X85-Y09"	"Male"	"M"	53	8304842	0.6
	"9 years"	"9"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	25	8304842	0.3
	"10 years"	"10"	"Transport accidents"	"V01-V99"	"Female"	"F"	127	8031800	1.6
	"10 years"	"10"	"Transport accidents"	"V01-V99"	"Male"	"M"	187	8390879	2.2
	"10 years"	"10"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	68	8031800	0.8
	"10 years"	"10"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	117	8390879	1.4
	"10 years"	"10"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	24	8031800	0.3
	"10 years"	"10"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	60	8390879	0.7
	"10 years"	"10"	"Assault"	"X85-Y09"	"Female"	"F"	48	8031800	0.6
	"10 years"	"10"	"Assault"	"X85-Y09"	"Male"	"M"	68	8390879	0.8
	"10 years"	"10"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	21	8390879	0.3
	"11 years"	"11"	"Transport accidents"	"V01-V99"	"Female"	"F"	128	8146264	1.6
	"11 years"	"11"	"Transport accidents"	"V01-V99"	"Male"	"M"	207	8508404	2.4
	"11 years"	"11"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	63	8146264	0.8
	"11 years"	"11"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	132	8508404	1.6
	"11 years"	"11"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	72	8146264	0.9
	"11 years"	"11"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	109	8508404	1.3
	"11 years"	"11"	"Assault"	"X85-Y09"	"Female"	"F"	37	8146264	0.5
	"11 years"	"11"	"Assault"	"X85-Y09"	"Male"	"M"	75	8508404	0.9
	"11 years"	"11"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	11	8146264	Unreliable
	"11 years"	"11"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	22	8508404	0.3
	"12 years"	"12"	"Transport accidents"	"V01-V99"	"Female"	"F"	144	8242817	1.7
	"12 years"	"12"	"Transport accidents"	"V01-V99"	"Male"	"M"	207	8614347	2.4
	"12 years"	"12"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	63	8242817	0.8
	"12 years"	"12"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	125	8614347	1.5
	"12 years"	"12"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	180	8242817	2.2
	"12 years"	"12"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	220	8614347	2.6
	"12 years"	"12"	"Assault"	"X85-Y09"	"Female"	"F"	48	8242817	0.6
	"12 years"	"12"	"Assault"	"X85-Y09"	"Male"	"M"	78	8614347	0.9
	"12 years"	"12"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	11	8242817	Unreliable
	"12 years"	"12"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	26	8614347	0.3
	"12 years"	"12"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Male"	"M"	14	8614347	Unreliable
	"13 years"	"13"	"Transport accidents"	"V01-V99"	"Female"	"F"	176	8308702	2.1
	"13 years"	"13"	"Transport accidents"	"V01-V99"	"Male"	"M"	271	8685908	3.1
	"13 years"	"13"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	88	8308702	1.1
	"13 years"	"13"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	175	8685908	2.0
	"13 years"	"13"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	260	8308702	3.1
	"13 years"	"13"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	407	8685908	4.7
	"13 years"	"13"	"Assault"	"X85-Y09"	"Female"	"F"	56	8308702	0.7
	"13 years"	"13"	"Assault"	"X85-Y09"	"Male"	"M"	122	8685908	1.4
	"13 years"	"13"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	30	8685908	0.3
	"14 years"	"14"	"Transport accidents"	"V01-V99"	"Female"	"F"	216	8290127	2.6
	"14 years"	"14"	"Transport accidents"	"V01-V99"	"Male"	"M"	405	8660754	4.7
	"14 years"	"14"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	96	8290127	1.2
	"14 years"	"14"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	237	8660754	2.7
	"14 years"	"14"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	318	8290127	3.8
	"14 years"	"14"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	657	8660754	7.6
	"14 years"	"14"	"Assault"	"X85-Y09"	"Female"	"F"	91	8290127	1.1
	"14 years"	"14"	"Assault"	"X85-Y09"	"Male"	"M"	304	8660754	3.5
	"14 years"	"14"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	36	8660754	0.4
	"15 years"	"15"	"Transport accidents"	"V01-V99"	"Female"	"F"	318	8247266	3.9
	"15 years"	"15"	"Transport accidents"	"V01-V99"	"Male"	"M"	512	8601257	6.0
	"15 years"	"15"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	115	8247266	1.4
	"15 years"	"15"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	343	8601257	4.0
	"15 years"	"15"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	377	8247266	4.6
	"15 years"	"15"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	908	8601257	10.6
	"15 years"	"15"	"Assault"	"X85-Y09"	"Female"	"F"	124	8247266	1.5
	"15 years"	"15"	"Assault"	"X85-Y09"	"Male"	"M"	593	8601257	6.9
	"15 years"	"15"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	12	8247266	Unreliable
	"15 years"	"15"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	43	8601257	0.5
	"15 years"	"15"	"Complications of medical and surgical care"	"Y40-Y84"	"Female"	"F"	11	8247266	Unreliable
	"15 years"	"15"	"Complications of medical and surgical care"	"Y40-Y84"	"Male"	"M"	13	8601257	Unreliable
	"15 years"	"15"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Male"	"M"	12	8601257	Unreliable
	"16 years"	"16"	"Transport accidents"	"V01-V99"	"Female"	"F"	532	8215952	6.5
	"16 years"	"16"	"Transport accidents"	"V01-V99"	"Male"	"M"	949	8563548	11.1
	"16 years"	"16"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	191	8215952	2.3
	"16 years"	"16"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	476	8563548	5.6
	"16 years"	"16"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	420	8215952	5.1
	"16 years"	"16"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	1137	8563548	13.3
	"16 years"	"16"	"Assault"	"X85-Y09"	"Female"	"F"	159	8215952	1.9
	"16 years"	"16"	"Assault"	"X85-Y09"	"Male"	"M"	975	8563548	11.4
	"16 years"	"16"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	23	8215952	0.3
	"16 years"	"16"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	49	8563548	0.6
	"16 years"	"16"	"Legal intervention and operations of war"	"Y35-Y36"	"Male"	"M"	15	8563548	Unreliable
	"16 years"	"16"	"Complications of medical and surgical care"	"Y40-Y84"	"Male"	"M"	10	8563548	Unreliable
	"16 years"	"16"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Male"	"M"	10	8563548	Unreliable
	"17 years"	"17"	"Transport accidents"	"V01-V99"	"Female"	"F"	703	8265770	8.5
	"17 years"	"17"	"Transport accidents"	"V01-V99"	"Male"	"M"	1370	8616859	15.9
	"17 years"	"17"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	269	8265770	3.3
	"17 years"	"17"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	786	8616859	9.1
	"17 years"	"17"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	425	8265770	5.1
	"17 years"	"17"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	1299	8616859	15.1
	"17 years"	"17"	"Assault"	"X85-Y09"	"Female"	"F"	213	8265770	2.6
	"17 years"	"17"	"Assault"	"X85-Y09"	"Male"	"M"	1537	8616859	17.8
	"17 years"	"17"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	28	8265770	0.3
	"17 years"	"17"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	67	8616859	0.8
	"17 years"	"17"	"Legal intervention and operations of war"	"Y35-Y36"	"Male"	"M"	29	8616859	0.3
	"17 years"	"17"	"Complications of medical and surgical care"	"Y40-Y84"	"Male"	"M"	16	8616859	Unreliable
	"17 years"	"17"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Male"	"M"	15	8616859	Unreliable
	"18 years"	"18"	"Transport accidents"	"V01-V99"	"Female"	"F"	963	8330753	11.6
	"18 years"	"18"	"Transport accidents"	"V01-V99"	"Male"	"M"	2004	8697433	23.0
	"18 years"	"18"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	442	8330753	5.3
	"18 years"	"18"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	1325	8697433	15.2
	"18 years"	"18"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	452	8330753	5.4
	"18 years"	"18"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	1639	8697433	18.8
	"18 years"	"18"	"Assault"	"X85-Y09"	"Female"	"F"	339	8330753	4.1
	"18 years"	"18"	"Assault"	"X85-Y09"	"Male"	"M"	2212	8697433	25.4
	"18 years"	"18"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	43	8330753	0.5
	"18 years"	"18"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	106	8697433	1.2
	"18 years"	"18"	"Legal intervention and operations of war"	"Y35-Y36"	"Male"	"M"	34	8697433	0.4
	"18 years"	"18"	"Complications of medical and surgical care"	"Y40-Y84"	"Female"	"F"	15	8330753	Unreliable
	"18 years"	"18"	"Complications of medical and surgical care"	"Y40-Y84"	"Male"	"M"	12	8697433	Unreliable
	"18 years"	"18"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Male"	"M"	10	8697433	Unreliable
	"19 years"	"19"	"Transport accidents"	"V01-V99"	"Female"	"F"	950	8379557	11.3
	"19 years"	"19"	"Transport accidents"	"V01-V99"	"Male"	"M"	2209	8758991	25.2
	"19 years"	"19"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	575	8379557	6.9
	"19 years"	"19"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	1735	8758991	19.8
	"19 years"	"19"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	464	8379557	5.5
	"19 years"	"19"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	2050	8758991	23.4
	"19 years"	"19"	"Assault"	"X85-Y09"	"Female"	"F"	381	8379557	4.5
	"19 years"	"19"	"Assault"	"X85-Y09"	"Male"	"M"	2408	8758991	27.5
	"19 years"	"19"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	43	8379557	0.5
	"19 years"	"19"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	121	8758991	1.4
	"19 years"	"19"	"Legal intervention and operations of war"	"Y35-Y36"	"Male"	"M"	43	8758991	0.5
	"19 years"	"19"	"Complications of medical and surgical care"	"Y40-Y84"	"Male"	"M"	11	8758991	Unreliable
	"19 years"	"19"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Male"	"M"	17	8758991	Unreliable
	"20 years"	"20"	"Transport accidents"	"V01-V99"	"Female"	"F"	900	8424506	10.7
	"20 years"	"20"	"Transport accidents"	"V01-V99"	"Male"	"M"	2302	8810250	26.1
	"20 years"	"20"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	790	8424506	9.4
	"20 years"	"20"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	2300	8810250	26.1
	"20 years"	"20"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	462	8424506	5.5
	"20 years"	"20"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	2095	8810250	23.8
	"20 years"	"20"	"Assault"	"X85-Y09"	"Female"	"F"	378	8424506	4.5
	"20 years"	"20"	"Assault"	"X85-Y09"	"Male"	"M"	2308	8810250	26.2
	"20 years"	"20"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	54	8424506	0.6
	"20 years"	"20"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	130	8810250	1.5
	"20 years"	"20"	"Legal intervention and operations of war"	"Y35-Y36"	"Male"	"M"	46	8810250	0.5
	"20 years"	"20"	"Complications of medical and surgical care"	"Y40-Y84"	"Male"	"M"	10	8810250	Unreliable
	"20 years"	"20"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Male"	"M"	18	8810250	Unreliable
	"21 years"	"21"	"Transport accidents"	"V01-V99"	"Female"	"F"	968	8413016	11.5
	"21 years"	"21"	"Transport accidents"	"V01-V99"	"Male"	"M"	2663	8788349	30.3
	"21 years"	"21"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	935	8413016	11.1
	"21 years"	"21"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	2591	8788349	29.5
	"21 years"	"21"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	562	8413016	6.7
	"21 years"	"21"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	2696	8788349	30.7
	"21 years"	"21"	"Assault"	"X85-Y09"	"Female"	"F"	413	8413016	4.9
	"21 years"	"21"	"Assault"	"X85-Y09"	"Male"	"M"	2331	8788349	26.5
	"21 years"	"21"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	76	8413016	0.9
	"21 years"	"21"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	175	8788349	2.0
	"21 years"	"21"	"Legal intervention and operations of war"	"Y35-Y36"	"Male"	"M"	47	8788349	0.5
	"21 years"	"21"	"Complications of medical and surgical care"	"Y40-Y84"	"Male"	"M"	12	8788349	Unreliable
	"21 years"	"21"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Male"	"M"	20	8788349	0.2
	"22 years"	"22"	"Transport accidents"	"V01-V99"	"Female"	"F"	867	8415579	10.3
	"22 years"	"22"	"Transport accidents"	"V01-V99"	"Male"	"M"	2567	8789879	29.2
	"22 years"	"22"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	1067	8415579	12.7
	"22 years"	"22"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	3037	8789879	34.6
	"22 years"	"22"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	569	8415579	6.8
	"22 years"	"22"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	2716	8789879	30.9
	"22 years"	"22"	"Assault"	"X85-Y09"	"Female"	"F"	361	8415579	4.3
	"22 years"	"22"	"Assault"	"X85-Y09"	"Male"	"M"	2321	8789879	26.4
	"22 years"	"22"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	78	8415579	0.9
	"22 years"	"22"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	198	8789879	2.3
	"22 years"	"22"	"Legal intervention and operations of war"	"Y35-Y36"	"Male"	"M"	56	8789879	0.6
	"22 years"	"22"	"Complications of medical and surgical care"	"Y40-Y84"	"Female"	"F"	17	8415579	Unreliable
	"22 years"	"22"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Male"	"M"	20	8789879	0.2
	"23 years"	"23"	"Transport accidents"	"V01-V99"	"Female"	"F"	926	8490838	10.9
	"23 years"	"23"	"Transport accidents"	"V01-V99"	"Male"	"M"	2514	8875880	28.3
	"23 years"	"23"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	1284	8490838	15.1
	"23 years"	"23"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	3310	8875880	37.3
	"23 years"	"23"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	578	8490838	6.8
	"23 years"	"23"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	2680	8875880	30.2
	"23 years"	"23"	"Assault"	"X85-Y09"	"Female"	"F"	406	8490838	4.8
	"23 years"	"23"	"Assault"	"X85-Y09"	"Male"	"M"	2336	8875880	26.3
	"23 years"	"23"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	87	8490838	1.0
	"23 years"	"23"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	206	8875880	2.3
	"23 years"	"23"	"Legal intervention and operations of war"	"Y35-Y36"	"Male"	"M"	49	8875880	0.6
	"23 years"	"23"	"Complications of medical and surgical care"	"Y40-Y84"	"Male"	"M"	11	8875880	Unreliable
	"23 years"	"23"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Female"	"F"	10	8490838	Unreliable
	"23 years"	"23"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Male"	"M"	38	8875880	0.4
	"24 years"	"24"	"Transport accidents"	"V01-V99"	"Female"	"F"	863	8608949	10.0
	"24 years"	"24"	"Transport accidents"	"V01-V99"	"Male"	"M"	2497	9008025	27.7
	"24 years"	"24"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	1427	8608949	16.6
	"24 years"	"24"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	3968	9008025	44.0
	"24 years"	"24"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	554	8608949	6.4
	"24 years"	"24"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	2667	9008025	29.6
	"24 years"	"24"	"Assault"	"X85-Y09"	"Female"	"F"	392	8608949	4.6
	"24 years"	"24"	"Assault"	"X85-Y09"	"Male"	"M"	2232	9008025	24.8
	"24 years"	"24"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	98	8608949	1.1
	"24 years"	"24"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	238	9008025	2.6
	"24 years"	"24"	"Legal intervention and operations of war"	"Y35-Y36"	"Male"	"M"	68	9008025	0.8
	"24 years"	"24"	"Complications of medical and surgical care"	"Y40-Y84"	"Female"	"F"	10	8608949	Unreliable
	"24 years"	"24"	"Complications of medical and surgical care"	"Y40-Y84"	"Male"	"M"	18	9008025	Unreliable
	"24 years"	"24"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Male"	"M"	29	9008025	0.3
	"25 years"	"25"	"Transport accidents"	"V01-V99"	"Female"	"F"	872	8747207	10.0
	"25 years"	"25"	"Transport accidents"	"V01-V99"	"Male"	"M"	2607	9168284	28.4
	"25 years"	"25"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	1569	8747207	17.9
	"25 years"	"25"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	4483	9168284	48.9
	"25 years"	"25"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	613	8747207	7.0
	"25 years"	"25"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	2694	9168284	29.4
	"25 years"	"25"	"Assault"	"X85-Y09"	"Female"	"F"	390	8747207	4.5
	"25 years"	"25"	"Assault"	"X85-Y09"	"Male"	"M"	2284	9168284	24.9
	"25 years"	"25"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	113	8747207	1.3
