"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"ICD Chapter"	"ICD Chapter Code"	Deaths	Population	Crude Rate
	"1 year"	"1"	"Diseases of the digestive system"	"K00-K92"	72	15219319	0.5
	"1 year"	"1"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	11	15219319	Unreliable
	"1 year"	"1"	"Diseases of the genitourinary system"	"N00-N98"	26	15219319	0.2
	"1 year"	"1"	"Certain conditions originating in the perinatal period"	"P00-P96"	153	15219319	1.0
	"1 year"	"1"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	757	15219319	5.0
	"1 year"	"1"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	596	15219319	3.9
	"1 year"	"1"	"Codes for special purposes"	"U00-U99"	30	15219319	0.2
	"1 year"	"1"	"External causes of morbidity and mortality"	"V01-Y89"	2175	15219319	14.3
	"2 years"	"2"	"Certain infectious and parasitic diseases"	"A00-B99"	169	15533934	1.1
	"2 years"	"2"	"Neoplasms"	"C00-D48"	343	15533934	2.2
	"2 years"	"2"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	56	15533934	0.4
	"2 years"	"2"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	111	15533934	0.7
	"2 years"	"2"	"Diseases of the nervous system"	"G00-G98"	188	15533934	1.2
	"2 years"	"2"	"Diseases of the circulatory system"	"I00-I99"	160	15533934	1.0
	"2 years"	"2"	"Diseases of the respiratory system"	"J00-J98"	231	15533934	1.5
	"2 years"	"2"	"Diseases of the digestive system"	"K00-K92"	54	15533934	0.3
	"2 years"	"2"	"Diseases of the genitourinary system"	"N00-N98"	10	15533934	Unreliable
	"2 years"	"2"	"Certain conditions originating in the perinatal period"	"P00-P96"	43	15533934	0.3
	"2 years"	"2"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	362	15533934	2.3
	"2 years"	"2"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	199	15533934	1.3
	"2 years"	"2"	"Codes for special purposes"	"U00-U99"	13	15533934	Unreliable
	"2 years"	"2"	"External causes of morbidity and mortality"	"V01-Y89"	1861	15533934	12.0
	"3 years"	"3"	"Certain infectious and parasitic diseases"	"A00-B99"	132	15813496	0.8
	"3 years"	"3"	"Neoplasms"	"C00-D48"	344	15813496	2.2
	"3 years"	"3"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	29	15813496	0.2
	"3 years"	"3"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	75	15813496	0.5
	"3 years"	"3"	"Mental and behavioural disorders"	"F01-F99"	10	15813496	Unreliable
	"3 years"	"3"	"Diseases of the nervous system"	"G00-G98"	167	15813496	1.1
	"3 years"	"3"	"Diseases of the circulatory system"	"I00-I99"	111	15813496	0.7
	"3 years"	"3"	"Diseases of the respiratory system"	"J00-J98"	171	15813496	1.1
	"3 years"	"3"	"Diseases of the digestive system"	"K00-K92"	44	15813496	0.3
	"3 years"	"3"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	10	15813496	Unreliable
	"3 years"	"3"	"Diseases of the genitourinary system"	"N00-N98"	15	15813496	Unreliable
	"3 years"	"3"	"Certain conditions originating in the perinatal period"	"P00-P96"	33	15813496	0.2
	"3 years"	"3"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	275	15813496	1.7
	"3 years"	"3"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	121	15813496	0.8
	"3 years"	"3"	"Codes for special purposes"	"U00-U99"	15	15813496	Unreliable
	"3 years"	"3"	"External causes of morbidity and mortality"	"V01-Y89"	1362	15813496	8.6
	"4 years"	"4"	"Certain infectious and parasitic diseases"	"A00-B99"	86	16018076	0.5
	"4 years"	"4"	"Neoplasms"	"C00-D48"	372	16018076	2.3
	"4 years"	"4"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	33	16018076	0.2
	"4 years"	"4"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	55	16018076	0.3
	"4 years"	"4"	"Diseases of the nervous system"	"G00-G98"	138	16018076	0.9
	"4 years"	"4"	"Diseases of the circulatory system"	"I00-I99"	96	16018076	0.6
	"4 years"	"4"	"Diseases of the respiratory system"	"J00-J98"	126	16018076	0.8
	"4 years"	"4"	"Diseases of the digestive system"	"K00-K92"	33	16018076	0.2
	"4 years"	"4"	"Certain conditions originating in the perinatal period"	"P00-P96"	12	16018076	Unreliable
	"4 years"	"4"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	200	16018076	1.2
	"4 years"	"4"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	78	16018076	0.5
	"4 years"	"4"	"Codes for special purposes"	"U00-U99"	15	16018076	Unreliable
	"4 years"	"4"	"External causes of morbidity and mortality"	"V01-Y89"	1083	16018076	6.8
	"5 years"	"5"	"Certain infectious and parasitic diseases"	"A00-B99"	75	16132888	0.5
	"5 years"	"5"	"Neoplasms"	"C00-D48"	342	16132888	2.1
	"5 years"	"5"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	17	16132888	Unreliable
	"5 years"	"5"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	64	16132888	0.4
	"5 years"	"5"	"Diseases of the nervous system"	"G00-G98"	121	16132888	0.8
	"5 years"	"5"	"Diseases of the circulatory system"	"I00-I99"	82	16132888	0.5
	"5 years"	"5"	"Diseases of the respiratory system"	"J00-J98"	135	16132888	0.8
	"5 years"	"5"	"Diseases of the digestive system"	"K00-K92"	25	16132888	0.2
	"5 years"	"5"	"Certain conditions originating in the perinatal period"	"P00-P96"	15	16132888	Unreliable
	"5 years"	"5"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	179	16132888	1.1
	"5 years"	"5"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	57	16132888	0.4
	"5 years"	"5"	"Codes for special purposes"	"U00-U99"	12	16132888	Unreliable
	"5 years"	"5"	"External causes of morbidity and mortality"	"V01-Y89"	967	16132888	6.0
	"6 years"	"6"	"Certain infectious and parasitic diseases"	"A00-B99"	73	16149284	0.5
	"6 years"	"6"	"Neoplasms"	"C00-D48"	324	16149284	2.0
	"6 years"	"6"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	26	16149284	0.2
	"6 years"	"6"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	46	16149284	0.3
	"6 years"	"6"	"Diseases of the nervous system"	"G00-G98"	149	16149284	0.9
	"6 years"	"6"	"Diseases of the circulatory system"	"I00-I99"	92	16149284	0.6
	"6 years"	"6"	"Diseases of the respiratory system"	"J00-J98"	108	16149284	0.7
	"6 years"	"6"	"Diseases of the digestive system"	"K00-K92"	29	16149284	0.2
	"6 years"	"6"	"Certain conditions originating in the perinatal period"	"P00-P96"	17	16149284	Unreliable
	"6 years"	"6"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	152	16149284	0.9
	"6 years"	"6"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	40	16149284	0.2
	"6 years"	"6"	"Codes for special purposes"	"U00-U99"	13	16149284	Unreliable
	"6 years"	"6"	"External causes of morbidity and mortality"	"V01-Y89"	831	16149284	5.1
	"7 years"	"7"	"Certain infectious and parasitic diseases"	"A00-B99"	61	16176031	0.4
	"7 years"	"7"	"Neoplasms"	"C00-D48"	337	16176031	2.1
	"7 years"	"7"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	19	16176031	Unreliable
	"7 years"	"7"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	56	16176031	0.3
	"7 years"	"7"	"Diseases of the nervous system"	"G00-G98"	134	16176031	0.8
	"7 years"	"7"	"Diseases of the circulatory system"	"I00-I99"	87	16176031	0.5
	"7 years"	"7"	"Diseases of the respiratory system"	"J00-J98"	132	16176031	0.8
	"7 years"	"7"	"Diseases of the digestive system"	"K00-K92"	25	16176031	0.2
	"7 years"	"7"	"Certain conditions originating in the perinatal period"	"P00-P96"	10	16176031	Unreliable
	"7 years"	"7"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	127	16176031	0.8
	"7 years"	"7"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	41	16176031	0.3
	"7 years"	"7"	"Codes for special purposes"	"U00-U99"	14	16176031	Unreliable
	"7 years"	"7"	"External causes of morbidity and mortality"	"V01-Y89"	703	16176031	4.3
	"8 years"	"8"	"Certain infectious and parasitic diseases"	"A00-B99"	54	16208158	0.3
	"8 years"	"8"	"Neoplasms"	"C00-D48"	305	16208158	1.9
	"8 years"	"8"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	23	16208158	0.1
	"8 years"	"8"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	48	16208158	0.3
	"8 years"	"8"	"Diseases of the nervous system"	"G00-G98"	156	16208158	1.0
	"8 years"	"8"	"Diseases of the circulatory system"	"I00-I99"	88	16208158	0.5
	"8 years"	"8"	"Diseases of the respiratory system"	"J00-J98"	124	16208158	0.8
	"8 years"	"8"	"Diseases of the digestive system"	"K00-K92"	33	16208158	0.2
	"8 years"	"8"	"Certain conditions originating in the perinatal period"	"P00-P96"	14	16208158	Unreliable
	"8 years"	"8"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	143	16208158	0.9
	"8 years"	"8"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	39	16208158	0.2
	"8 years"	"8"	"Codes for special purposes"	"U00-U99"	18	16208158	Unreliable
	"8 years"	"8"	"External causes of morbidity and mortality"	"V01-Y89"	671	16208158	4.1
	"9 years"	"9"	"Certain infectious and parasitic diseases"	"A00-B99"	57	16254435	0.4
	"9 years"	"9"	"Neoplasms"	"C00-D48"	287	16254435	1.8
	"9 years"	"9"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	16	16254435	Unreliable
	"9 years"	"9"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	76	16254435	0.5
	"9 years"	"9"	"Diseases of the nervous system"	"G00-G98"	162	16254435	1.0
	"9 years"	"9"	"Diseases of the circulatory system"	"I00-I99"	86	16254435	0.5
	"9 years"	"9"	"Diseases of the respiratory system"	"J00-J98"	132	16254435	0.8
	"9 years"	"9"	"Diseases of the digestive system"	"K00-K92"	28	16254435	0.2
	"9 years"	"9"	"Certain conditions originating in the perinatal period"	"P00-P96"	13	16254435	Unreliable
	"9 years"	"9"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	134	16254435	0.8
	"9 years"	"9"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	47	16254435	0.3
	"9 years"	"9"	"Codes for special purposes"	"U00-U99"	23	16254435	0.1
	"9 years"	"9"	"External causes of morbidity and mortality"	"V01-Y89"	662	16254435	4.1
	"10 years"	"10"	"Certain infectious and parasitic diseases"	"A00-B99"	52	16422679	0.3
	"10 years"	"10"	"Neoplasms"	"C00-D48"	325	16422679	2.0
	"10 years"	"10"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	24	16422679	0.1
	"10 years"	"10"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	75	16422679	0.5
	"10 years"	"10"	"Diseases of the nervous system"	"G00-G98"	188	16422679	1.1
	"10 years"	"10"	"Diseases of the circulatory system"	"I00-I99"	97	16422679	0.6
	"10 years"	"10"	"Diseases of the respiratory system"	"J00-J98"	131	16422679	0.8
	"10 years"	"10"	"Diseases of the digestive system"	"K00-K92"	37	16422679	0.2
	"10 years"	"10"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	13	16422679	Unreliable
	"10 years"	"10"	"Certain conditions originating in the perinatal period"	"P00-P96"	17	16422679	Unreliable
	"10 years"	"10"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	126	16422679	0.8
	"10 years"	"10"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	38	16422679	0.2
	"10 years"	"10"	"Codes for special purposes"	"U00-U99"	18	16422679	Unreliable
	"10 years"	"10"	"External causes of morbidity and mortality"	"V01-Y89"	746	16422679	4.5
	"11 years"	"11"	"Certain infectious and parasitic diseases"	"A00-B99"	48	16654668	0.3
	"11 years"	"11"	"Neoplasms"	"C00-D48"	329	16654668	2.0
	"11 years"	"11"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	20	16654668	0.1
	"11 years"	"11"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	92	16654668	0.6
	"11 years"	"11"	"Diseases of the nervous system"	"G00-G98"	181	16654668	1.1
	"11 years"	"11"	"Diseases of the circulatory system"	"I00-I99"	120	16654668	0.7
	"11 years"	"11"	"Diseases of the respiratory system"	"J00-J98"	133	16654668	0.8
	"11 years"	"11"	"Diseases of the digestive system"	"K00-K92"	35	16654668	0.2
	"11 years"	"11"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	143	16654668	0.9
	"11 years"	"11"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	54	16654668	0.3
	"11 years"	"11"	"Codes for special purposes"	"U00-U99"	14	16654668	Unreliable
	"11 years"	"11"	"External causes of morbidity and mortality"	"V01-Y89"	879	16654668	5.3
	"12 years"	"12"	"Certain infectious and parasitic diseases"	"A00-B99"	43	16857164	0.3
	"12 years"	"12"	"Neoplasms"	"C00-D48"	368	16857164	2.2
	"12 years"	"12"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	23	16857164	0.1
	"12 years"	"12"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	91	16857164	0.5
	"12 years"	"12"	"Diseases of the nervous system"	"G00-G98"	201	16857164	1.2
	"12 years"	"12"	"Diseases of the circulatory system"	"I00-I99"	134	16857164	0.8
	"12 years"	"12"	"Diseases of the respiratory system"	"J00-J98"	133	16857164	0.8
	"12 years"	"12"	"Diseases of the digestive system"	"K00-K92"	37	16857164	0.2
	"12 years"	"12"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	13	16857164	Unreliable
	"12 years"	"12"	"Diseases of the genitourinary system"	"N00-N98"	10	16857164	Unreliable
	"12 years"	"12"	"Certain conditions originating in the perinatal period"	"P00-P96"	11	16857164	Unreliable
	"12 years"	"12"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	129	16857164	0.8
	"12 years"	"12"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	45	16857164	0.3
	"12 years"	"12"	"Codes for special purposes"	"U00-U99"	24	16857164	0.1
	"12 years"	"12"	"External causes of morbidity and mortality"	"V01-Y89"	1136	16857164	6.7
	"13 years"	"13"	"Certain infectious and parasitic diseases"	"A00-B99"	50	16994610	0.3
	"13 years"	"13"	"Neoplasms"	"C00-D48"	405	16994610	2.4
	"13 years"	"13"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	31	16994610	0.2
	"13 years"	"13"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	89	16994610	0.5
	"13 years"	"13"	"Diseases of the nervous system"	"G00-G98"	242	16994610	1.4
	"13 years"	"13"	"Diseases of the circulatory system"	"I00-I99"	138	16994610	0.8
	"13 years"	"13"	"Diseases of the respiratory system"	"J00-J98"	142	16994610	0.8
	"13 years"	"13"	"Diseases of the digestive system"	"K00-K92"	41	16994610	0.2
	"13 years"	"13"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	11	16994610	Unreliable
	"13 years"	"13"	"Certain conditions originating in the perinatal period"	"P00-P96"	14	16994610	Unreliable
	"13 years"	"13"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	139	16994610	0.8
	"13 years"	"13"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	57	16994610	0.3
	"13 years"	"13"	"Codes for special purposes"	"U00-U99"	26	16994610	0.2
	"13 years"	"13"	"External causes of morbidity and mortality"	"V01-Y89"	1615	16994610	9.5
	"14 years"	"14"	"Certain infectious and parasitic diseases"	"A00-B99"	54	16950881	0.3
	"14 years"	"14"	"Neoplasms"	"C00-D48"	408	16950881	2.4
	"14 years"	"14"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	27	16950881	0.2
	"14 years"	"14"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	93	16950881	0.5
	"14 years"	"14"	"Mental and behavioural disorders"	"F01-F99"	13	16950881	Unreliable
	"14 years"	"14"	"Diseases of the nervous system"	"G00-G98"	247	16950881	1.5
	"14 years"	"14"	"Diseases of the circulatory system"	"I00-I99"	180	16950881	1.1
	"14 years"	"14"	"Diseases of the respiratory system"	"J00-J98"	114	16950881	0.7
	"14 years"	"14"	"Diseases of the digestive system"	"K00-K92"	41	16950881	0.2
	"14 years"	"14"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	16	16950881	Unreliable
	"14 years"	"14"	"Diseases of the genitourinary system"	"N00-N98"	14	16950881	Unreliable
	"14 years"	"14"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	153	16950881	0.9
	"14 years"	"14"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	66	16950881	0.4
	"14 years"	"14"	"Codes for special purposes"	"U00-U99"	30	16950881	0.2
	"14 years"	"14"	"External causes of morbidity and mortality"	"V01-Y89"	2390	16950881	14.1
	"15 years"	"15"	"Certain infectious and parasitic diseases"	"A00-B99"	54	16848523	0.3
	"15 years"	"15"	"Neoplasms"	"C00-D48"	466	16848523	2.8
	"15 years"	"15"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	38	16848523	0.2
	"15 years"	"15"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	117	16848523	0.7
	"15 years"	"15"	"Diseases of the nervous system"	"G00-G98"	253	16848523	1.5
	"15 years"	"15"	"Diseases of the circulatory system"	"I00-I99"	229	16848523	1.4
	"15 years"	"15"	"Diseases of the respiratory system"	"J00-J98"	135	16848523	0.8
	"15 years"	"15"	"Diseases of the digestive system"	"K00-K92"	44	16848523	0.3
	"15 years"	"15"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	16	16848523	Unreliable
	"15 years"	"15"	"Diseases of the genitourinary system"	"N00-N98"	18	16848523	Unreliable
	"15 years"	"15"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	144	16848523	0.9
	"15 years"	"15"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	73	16848523	0.4
	"15 years"	"15"	"Codes for special purposes"	"U00-U99"	62	16848523	0.4
	"15 years"	"15"	"External causes of morbidity and mortality"	"V01-Y89"	3387	16848523	20.1
	"16 years"	"16"	"Certain infectious and parasitic diseases"	"A00-B99"	57	16779500	0.3
	"16 years"	"16"	"Neoplasms"	"C00-D48"	455	16779500	2.7
	"16 years"	"16"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	33	16779500	0.2
	"16 years"	"16"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	125	16779500	0.7
	"16 years"	"16"	"Mental and behavioural disorders"	"F01-F99"	14	16779500	Unreliable
	"16 years"	"16"	"Diseases of the nervous system"	"G00-G98"	282	16779500	1.7
	"16 years"	"16"	"Diseases of the circulatory system"	"I00-I99"	240	16779500	1.4
	"16 years"	"16"	"Diseases of the respiratory system"	"J00-J98"	102	16779500	0.6
	"16 years"	"16"	"Diseases of the digestive system"	"K00-K92"	48	16779500	0.3
	"16 years"	"16"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	14	16779500	Unreliable
	"16 years"	"16"	"Diseases of the genitourinary system"	"N00-N98"	16	16779500	Unreliable
	"16 years"	"16"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	173	16779500	1.0
	"16 years"	"16"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	121	16779500	0.7
	"16 years"	"16"	"Codes for special purposes"	"U00-U99"	60	16779500	0.4
	"16 years"	"16"	"External causes of morbidity and mortality"	"V01-Y89"	4961	16779500	29.6
	"17 years"	"17"	"Certain infectious and parasitic diseases"	"A00-B99"	61	16882629	0.4
	"17 years"	"17"	"Neoplasms"	"C00-D48"	507	16882629	3.0
	"17 years"	"17"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	49	16882629	0.3
	"17 years"	"17"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	124	16882629	0.7
	"17 years"	"17"	"Mental and behavioural disorders"	"F01-F99"	19	16882629	Unreliable
	"17 years"	"17"	"Diseases of the nervous system"	"G00-G98"	321	16882629	1.9
	"17 years"	"17"	"Diseases of the circulatory system"	"I00-I99"	283	16882629	1.7
	"17 years"	"17"	"Diseases of the respiratory system"	"J00-J98"	149	16882629	0.9
	"17 years"	"17"	"Diseases of the digestive system"	"K00-K92"	57	16882629	0.3
	"17 years"	"17"	"Diseases of the genitourinary system"	"N00-N98"	14	16882629	Unreliable
	"17 years"	"17"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	15	16882629	Unreliable
	"17 years"	"17"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	126	16882629	0.7
	"17 years"	"17"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	130	16882629	0.8
	"17 years"	"17"	"Codes for special purposes"	"U00-U99"	83	16882629	0.5
	"17 years"	"17"	"External causes of morbidity and mortality"	"V01-Y89"	6775	16882629	40.1
	"18 years"	"18"	"Certain infectious and parasitic diseases"	"A00-B99"	84	17028186	0.5
	"18 years"	"18"	"Neoplasms"	"C00-D48"	547	17028186	3.2
	"18 years"	"18"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	51	17028186	0.3
	"18 years"	"18"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	202	17028186	1.2
	"18 years"	"18"	"Mental and behavioural disorders"	"F01-F99"	38	17028186	0.2
	"18 years"	"18"	"Diseases of the nervous system"	"G00-G98"	345	17028186	2.0
	"18 years"	"18"	"Diseases of the circulatory system"	"I00-I99"	409	17028186	2.4
	"18 years"	"18"	"Diseases of the respiratory system"	"J00-J98"	178	17028186	1.0
	"18 years"	"18"	"Diseases of the digestive system"	"K00-K92"	84	17028186	0.5
	"18 years"	"18"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	30	17028186	0.2
	"18 years"	"18"	"Diseases of the genitourinary system"	"N00-N98"	23	17028186	0.1
	"18 years"	"18"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	36	17028186	0.2
	"18 years"	"18"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	137	17028186	0.8
	"18 years"	"18"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	174	17028186	1.0
	"18 years"	"18"	"Codes for special purposes"	"U00-U99"	115	17028186	0.7
	"18 years"	"18"	"External causes of morbidity and mortality"	"V01-Y89"	9601	17028186	56.4
	"19 years"	"19"	"Certain infectious and parasitic diseases"	"A00-B99"	81	17138548	0.5
	"19 years"	"19"	"Neoplasms"	"C00-D48"	516	17138548	3.0
	"19 years"	"19"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	58	17138548	0.3
	"19 years"	"19"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	231	17138548	1.3
	"19 years"	"19"	"Mental and behavioural disorders"	"F01-F99"	52	17138548	0.3
	"19 years"	"19"	"Diseases of the nervous system"	"G00-G98"	375	17138548	2.2
	"19 years"	"19"	"Diseases of the circulatory system"	"I00-I99"	449	17138548	2.6
	"19 years"	"19"	"Diseases of the respiratory system"	"J00-J98"	197	17138548	1.1
	"19 years"	"19"	"Diseases of the digestive system"	"K00-K92"	83	17138548	0.5
	"19 years"	"19"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	41	17138548	0.2
	"19 years"	"19"	"Diseases of the genitourinary system"	"N00-N98"	20	17138548	0.1
	"19 years"	"19"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	58	17138548	0.3
	"19 years"	"19"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	166	17138548	1.0
	"19 years"	"19"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	229	17138548	1.3
	"19 years"	"19"	"Codes for special purposes"	"U00-U99"	157	17138548	0.9
	"19 years"	"19"	"External causes of morbidity and mortality"	"V01-Y89"	11021	17138548	64.3
	"20 years"	"20"	"Certain infectious and parasitic diseases"	"A00-B99"	106	17234756	0.6
	"20 years"	"20"	"Neoplasms"	"C00-D48"	549	17234756	3.2
	"20 years"	"20"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	64	17234756	0.4
