"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Gender"	"Gender Code"	"ICD Chapter"	"ICD Chapter Code"	Deaths	Population	Crude Rate
	"1 year"	"1"	"Male"	"M"	"Diseases of the digestive system"	"K00-K92"	42	7779981	0.5
	"1 year"	"1"	"Male"	"M"	"Certain conditions originating in the perinatal period"	"P00-P96"	88	7779981	1.1
	"1 year"	"1"	"Male"	"M"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	382	7779981	4.9
	"1 year"	"1"	"Male"	"M"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	349	7779981	4.5
	"1 year"	"1"	"Male"	"M"	"Codes for special purposes"	"U00-U99"	21	7779981	0.3
	"1 year"	"1"	"Male"	"M"	"External causes of morbidity and mortality"	"V01-Y89"	1242	7779981	16.0
	"2 years"	"2"	"Female"	"F"	"Certain infectious and parasitic diseases"	"A00-B99"	87	7595814	1.1
	"2 years"	"2"	"Female"	"F"	"Neoplasms"	"C00-D48"	169	7595814	2.2
	"2 years"	"2"	"Female"	"F"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	25	7595814	0.3
	"2 years"	"2"	"Female"	"F"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	49	7595814	0.6
	"2 years"	"2"	"Female"	"F"	"Diseases of the nervous system"	"G00-G98"	99	7595814	1.3
	"2 years"	"2"	"Female"	"F"	"Diseases of the circulatory system"	"I00-I99"	74	7595814	1.0
	"2 years"	"2"	"Female"	"F"	"Diseases of the respiratory system"	"J00-J98"	105	7595814	1.4
	"2 years"	"2"	"Female"	"F"	"Diseases of the digestive system"	"K00-K92"	28	7595814	0.4
	"2 years"	"2"	"Female"	"F"	"Certain conditions originating in the perinatal period"	"P00-P96"	19	7595814	Unreliable
	"2 years"	"2"	"Female"	"F"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	192	7595814	2.5
	"2 years"	"2"	"Female"	"F"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	73	7595814	1.0
	"2 years"	"2"	"Female"	"F"	"External causes of morbidity and mortality"	"V01-Y89"	711	7595814	9.4
	"2 years"	"2"	"Male"	"M"	"Certain infectious and parasitic diseases"	"A00-B99"	82	7938120	1.0
	"2 years"	"2"	"Male"	"M"	"Neoplasms"	"C00-D48"	174	7938120	2.2
	"2 years"	"2"	"Male"	"M"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	31	7938120	0.4
	"2 years"	"2"	"Male"	"M"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	62	7938120	0.8
	"2 years"	"2"	"Male"	"M"	"Diseases of the nervous system"	"G00-G98"	89	7938120	1.1
	"2 years"	"2"	"Male"	"M"	"Diseases of the circulatory system"	"I00-I99"	86	7938120	1.1
	"2 years"	"2"	"Male"	"M"	"Diseases of the respiratory system"	"J00-J98"	126	7938120	1.6
	"2 years"	"2"	"Male"	"M"	"Diseases of the digestive system"	"K00-K92"	26	7938120	0.3
	"2 years"	"2"	"Male"	"M"	"Certain conditions originating in the perinatal period"	"P00-P96"	24	7938120	0.3
	"2 years"	"2"	"Male"	"M"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	170	7938120	2.1
	"2 years"	"2"	"Male"	"M"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	126	7938120	1.6
	"2 years"	"2"	"Male"	"M"	"External causes of morbidity and mortality"	"V01-Y89"	1150	7938120	14.5
	"3 years"	"3"	"Female"	"F"	"Certain infectious and parasitic diseases"	"A00-B99"	55	7729866	0.7
	"3 years"	"3"	"Female"	"F"	"Neoplasms"	"C00-D48"	150	7729866	1.9
	"3 years"	"3"	"Female"	"F"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	12	7729866	Unreliable
	"3 years"	"3"	"Female"	"F"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	36	7729866	0.5
	"3 years"	"3"	"Female"	"F"	"Diseases of the nervous system"	"G00-G98"	63	7729866	0.8
	"3 years"	"3"	"Female"	"F"	"Diseases of the circulatory system"	"I00-I99"	60	7729866	0.8
	"3 years"	"3"	"Female"	"F"	"Diseases of the respiratory system"	"J00-J98"	80	7729866	1.0
	"3 years"	"3"	"Female"	"F"	"Diseases of the digestive system"	"K00-K92"	23	7729866	0.3
	"3 years"	"3"	"Female"	"F"	"Certain conditions originating in the perinatal period"	"P00-P96"	17	7729866	Unreliable
	"3 years"	"3"	"Female"	"F"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	127	7729866	1.6
	"3 years"	"3"	"Female"	"F"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	52	7729866	0.7
	"3 years"	"3"	"Female"	"F"	"External causes of morbidity and mortality"	"V01-Y89"	517	7729866	6.7
	"3 years"	"3"	"Male"	"M"	"Certain infectious and parasitic diseases"	"A00-B99"	77	8083630	1.0
	"3 years"	"3"	"Male"	"M"	"Neoplasms"	"C00-D48"	194	8083630	2.4
	"3 years"	"3"	"Male"	"M"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	17	8083630	Unreliable
	"3 years"	"3"	"Male"	"M"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	39	8083630	0.5
	"3 years"	"3"	"Male"	"M"	"Diseases of the nervous system"	"G00-G98"	104	8083630	1.3
	"3 years"	"3"	"Male"	"M"	"Diseases of the circulatory system"	"I00-I99"	51	8083630	0.6
	"3 years"	"3"	"Male"	"M"	"Diseases of the respiratory system"	"J00-J98"	91	8083630	1.1
	"3 years"	"3"	"Male"	"M"	"Diseases of the digestive system"	"K00-K92"	21	8083630	0.3
	"3 years"	"3"	"Male"	"M"	"Certain conditions originating in the perinatal period"	"P00-P96"	16	8083630	Unreliable
	"3 years"	"3"	"Male"	"M"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	148	8083630	1.8
	"3 years"	"3"	"Male"	"M"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	69	8083630	0.9
	"3 years"	"3"	"Male"	"M"	"External causes of morbidity and mortality"	"V01-Y89"	845	8083630	10.5
	"4 years"	"4"	"Female"	"F"	"Certain infectious and parasitic diseases"	"A00-B99"	38	7826154	0.5
	"4 years"	"4"	"Female"	"F"	"Neoplasms"	"C00-D48"	176	7826154	2.2
	"4 years"	"4"	"Female"	"F"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	19	7826154	Unreliable
	"4 years"	"4"	"Female"	"F"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	30	7826154	0.4
	"4 years"	"4"	"Female"	"F"	"Diseases of the nervous system"	"G00-G98"	69	7826154	0.9
	"4 years"	"4"	"Female"	"F"	"Diseases of the circulatory system"	"I00-I99"	50	7826154	0.6
	"4 years"	"4"	"Female"	"F"	"Diseases of the respiratory system"	"J00-J98"	62	7826154	0.8
	"4 years"	"4"	"Female"	"F"	"Diseases of the digestive system"	"K00-K92"	19	7826154	Unreliable
	"4 years"	"4"	"Female"	"F"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	89	7826154	1.1
	"4 years"	"4"	"Female"	"F"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	29	7826154	0.4
	"4 years"	"4"	"Female"	"F"	"Codes for special purposes"	"U00-U99"	10	7826154	Unreliable
	"4 years"	"4"	"Female"	"F"	"External causes of morbidity and mortality"	"V01-Y89"	422	7826154	5.4
	"4 years"	"4"	"Male"	"M"	"Certain infectious and parasitic diseases"	"A00-B99"	48	8191922	0.6
	"4 years"	"4"	"Male"	"M"	"Neoplasms"	"C00-D48"	196	8191922	2.4
	"4 years"	"4"	"Male"	"M"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	14	8191922	Unreliable
	"4 years"	"4"	"Male"	"M"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	25	8191922	0.3
	"4 years"	"4"	"Male"	"M"	"Diseases of the nervous system"	"G00-G98"	69	8191922	0.8
	"4 years"	"4"	"Male"	"M"	"Diseases of the circulatory system"	"I00-I99"	46	8191922	0.6
	"4 years"	"4"	"Male"	"M"	"Diseases of the respiratory system"	"J00-J98"	64	8191922	0.8
	"4 years"	"4"	"Male"	"M"	"Diseases of the digestive system"	"K00-K92"	14	8191922	Unreliable
	"4 years"	"4"	"Male"	"M"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	111	8191922	1.4
	"4 years"	"4"	"Male"	"M"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	49	8191922	0.6
	"4 years"	"4"	"Male"	"M"	"External causes of morbidity and mortality"	"V01-Y89"	661	8191922	8.1
	"5 years"	"5"	"Female"	"F"	"Certain infectious and parasitic diseases"	"A00-B99"	35	7885064	0.4
	"5 years"	"5"	"Female"	"F"	"Neoplasms"	"C00-D48"	159	7885064	2.0
	"5 years"	"5"	"Female"	"F"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	32	7885064	0.4
	"5 years"	"5"	"Female"	"F"	"Diseases of the nervous system"	"G00-G98"	57	7885064	0.7
	"5 years"	"5"	"Female"	"F"	"Diseases of the circulatory system"	"I00-I99"	42	7885064	0.5
	"5 years"	"5"	"Female"	"F"	"Diseases of the respiratory system"	"J00-J98"	58	7885064	0.7
	"5 years"	"5"	"Female"	"F"	"Diseases of the digestive system"	"K00-K92"	11	7885064	Unreliable
	"5 years"	"5"	"Female"	"F"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	84	7885064	1.1
	"5 years"	"5"	"Female"	"F"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	28	7885064	0.4
	"5 years"	"5"	"Female"	"F"	"External causes of morbidity and mortality"	"V01-Y89"	381	7885064	4.8
	"5 years"	"5"	"Male"	"M"	"Certain infectious and parasitic diseases"	"A00-B99"	40	8247824	0.5
	"5 years"	"5"	"Male"	"M"	"Neoplasms"	"C00-D48"	183	8247824	2.2
	"5 years"	"5"	"Male"	"M"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	11	8247824	Unreliable
	"5 years"	"5"	"Male"	"M"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	32	8247824	0.4
	"5 years"	"5"	"Male"	"M"	"Diseases of the nervous system"	"G00-G98"	64	8247824	0.8
	"5 years"	"5"	"Male"	"M"	"Diseases of the circulatory system"	"I00-I99"	40	8247824	0.5
	"5 years"	"5"	"Male"	"M"	"Diseases of the respiratory system"	"J00-J98"	77	8247824	0.9
	"5 years"	"5"	"Male"	"M"	"Diseases of the digestive system"	"K00-K92"	14	8247824	Unreliable
	"5 years"	"5"	"Male"	"M"	"Certain conditions originating in the perinatal period"	"P00-P96"	10	8247824	Unreliable
	"5 years"	"5"	"Male"	"M"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	95	8247824	1.2
	"5 years"	"5"	"Male"	"M"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	29	8247824	0.4
	"5 years"	"5"	"Male"	"M"	"External causes of morbidity and mortality"	"V01-Y89"	586	8247824	7.1
	"6 years"	"6"	"Female"	"F"	"Certain infectious and parasitic diseases"	"A00-B99"	41	7894487	0.5
	"6 years"	"6"	"Female"	"F"	"Neoplasms"	"C00-D48"	152	7894487	1.9
	"6 years"	"6"	"Female"	"F"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	11	7894487	Unreliable
	"6 years"	"6"	"Female"	"F"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	23	7894487	0.3
	"6 years"	"6"	"Female"	"F"	"Diseases of the nervous system"	"G00-G98"	65	7894487	0.8
	"6 years"	"6"	"Female"	"F"	"Diseases of the circulatory system"	"I00-I99"	45	7894487	0.6
	"6 years"	"6"	"Female"	"F"	"Diseases of the respiratory system"	"J00-J98"	51	7894487	0.6
	"6 years"	"6"	"Female"	"F"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	67	7894487	0.8
	"6 years"	"6"	"Female"	"F"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	21	7894487	0.3
	"6 years"	"6"	"Female"	"F"	"External causes of morbidity and mortality"	"V01-Y89"	340	7894487	4.3
	"6 years"	"6"	"Male"	"M"	"Certain infectious and parasitic diseases"	"A00-B99"	32	8254797	0.4
	"6 years"	"6"	"Male"	"M"	"Neoplasms"	"C00-D48"	172	8254797	2.1
	"6 years"	"6"	"Male"	"M"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	15	8254797	Unreliable
	"6 years"	"6"	"Male"	"M"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	23	8254797	0.3
	"6 years"	"6"	"Male"	"M"	"Diseases of the nervous system"	"G00-G98"	84	8254797	1.0
	"6 years"	"6"	"Male"	"M"	"Diseases of the circulatory system"	"I00-I99"	47	8254797	0.6
	"6 years"	"6"	"Male"	"M"	"Diseases of the respiratory system"	"J00-J98"	57	8254797	0.7
	"6 years"	"6"	"Male"	"M"	"Diseases of the digestive system"	"K00-K92"	20	8254797	0.2
	"6 years"	"6"	"Male"	"M"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	85	8254797	1.0
	"6 years"	"6"	"Male"	"M"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	19	8254797	Unreliable
	"6 years"	"6"	"Male"	"M"	"External causes of morbidity and mortality"	"V01-Y89"	491	8254797	5.9
	"7 years"	"7"	"Female"	"F"	"Certain infectious and parasitic diseases"	"A00-B99"	33	7903632	0.4
	"7 years"	"7"	"Female"	"F"	"Neoplasms"	"C00-D48"	157	7903632	2.0
	"7 years"	"7"	"Female"	"F"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	26	7903632	0.3
	"7 years"	"7"	"Female"	"F"	"Diseases of the nervous system"	"G00-G98"	65	7903632	0.8
	"7 years"	"7"	"Female"	"F"	"Diseases of the circulatory system"	"I00-I99"	44	7903632	0.6
	"7 years"	"7"	"Female"	"F"	"Diseases of the respiratory system"	"J00-J98"	61	7903632	0.8
	"7 years"	"7"	"Female"	"F"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	61	7903632	0.8
	"7 years"	"7"	"Female"	"F"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	21	7903632	0.3
	"7 years"	"7"	"Female"	"F"	"External causes of morbidity and mortality"	"V01-Y89"	276	7903632	3.5
	"7 years"	"7"	"Male"	"M"	"Certain infectious and parasitic diseases"	"A00-B99"	28	8272399	0.3
	"7 years"	"7"	"Male"	"M"	"Neoplasms"	"C00-D48"	180	8272399	2.2
	"7 years"	"7"	"Male"	"M"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	11	8272399	Unreliable
	"7 years"	"7"	"Male"	"M"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	30	8272399	0.4
	"7 years"	"7"	"Male"	"M"	"Diseases of the nervous system"	"G00-G98"	69	8272399	0.8
	"7 years"	"7"	"Male"	"M"	"Diseases of the circulatory system"	"I00-I99"	43	8272399	0.5
	"7 years"	"7"	"Male"	"M"	"Diseases of the respiratory system"	"J00-J98"	71	8272399	0.9
	"7 years"	"7"	"Male"	"M"	"Diseases of the digestive system"	"K00-K92"	16	8272399	Unreliable
	"7 years"	"7"	"Male"	"M"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	66	8272399	0.8
	"7 years"	"7"	"Male"	"M"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	20	8272399	0.2
	"7 years"	"7"	"Male"	"M"	"External causes of morbidity and mortality"	"V01-Y89"	427	8272399	5.2
	"8 years"	"8"	"Female"	"F"	"Certain infectious and parasitic diseases"	"A00-B99"	25	7926357	0.3
	"8 years"	"8"	"Female"	"F"	"Neoplasms"	"C00-D48"	150	7926357	1.9
	"8 years"	"8"	"Female"	"F"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	18	7926357	Unreliable
	"8 years"	"8"	"Female"	"F"	"Diseases of the nervous system"	"G00-G98"	67	7926357	0.8
	"8 years"	"8"	"Female"	"F"	"Diseases of the circulatory system"	"I00-I99"	40	7926357	0.5
	"8 years"	"8"	"Female"	"F"	"Diseases of the respiratory system"	"J00-J98"	57	7926357	0.7
	"8 years"	"8"	"Female"	"F"	"Diseases of the digestive system"	"K00-K92"	16	7926357	Unreliable
	"8 years"	"8"	"Female"	"F"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	80	7926357	1.0
	"8 years"	"8"	"Female"	"F"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	20	7926357	0.3
	"8 years"	"8"	"Female"	"F"	"External causes of morbidity and mortality"	"V01-Y89"	282	7926357	3.6
	"8 years"	"8"	"Male"	"M"	"Certain infectious and parasitic diseases"	"A00-B99"	29	8281801	0.4
	"8 years"	"8"	"Male"	"M"	"Neoplasms"	"C00-D48"	155	8281801	1.9
	"8 years"	"8"	"Male"	"M"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	14	8281801	Unreliable
	"8 years"	"8"	"Male"	"M"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	30	8281801	0.4
	"8 years"	"8"	"Male"	"M"	"Diseases of the nervous system"	"G00-G98"	89	8281801	1.1
	"8 years"	"8"	"Male"	"M"	"Diseases of the circulatory system"	"I00-I99"	48	8281801	0.6
	"8 years"	"8"	"Male"	"M"	"Diseases of the respiratory system"	"J00-J98"	67	8281801	0.8
	"8 years"	"8"	"Male"	"M"	"Diseases of the digestive system"	"K00-K92"	17	8281801	Unreliable
	"8 years"	"8"	"Male"	"M"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	63	8281801	0.8
	"8 years"	"8"	"Male"	"M"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	19	8281801	Unreliable
	"8 years"	"8"	"Male"	"M"	"Codes for special purposes"	"U00-U99"	11	8281801	Unreliable
	"8 years"	"8"	"Male"	"M"	"External causes of morbidity and mortality"	"V01-Y89"	389	8281801	4.7
	"9 years"	"9"	"Female"	"F"	"Certain infectious and parasitic diseases"	"A00-B99"	20	7949593	0.3
	"9 years"	"9"	"Female"	"F"	"Neoplasms"	"C00-D48"	136	7949593	1.7
	"9 years"	"9"	"Female"	"F"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	28	7949593	0.4
	"9 years"	"9"	"Female"	"F"	"Diseases of the nervous system"	"G00-G98"	69	7949593	0.9
	"9 years"	"9"	"Female"	"F"	"Diseases of the circulatory system"	"I00-I99"	43	7949593	0.5
	"9 years"	"9"	"Female"	"F"	"Diseases of the respiratory system"	"J00-J98"	62	7949593	0.8
	"9 years"	"9"	"Female"	"F"	"Diseases of the digestive system"	"K00-K92"	11	7949593	Unreliable
	"9 years"	"9"	"Female"	"F"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	68	7949593	0.9
	"9 years"	"9"	"Female"	"F"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	18	7949593	Unreliable
	"9 years"	"9"	"Female"	"F"	"External causes of morbidity and mortality"	"V01-Y89"	269	7949593	3.4
	"9 years"	"9"	"Male"	"M"	"Certain infectious and parasitic diseases"	"A00-B99"	37	8304842	0.4
	"9 years"	"9"	"Male"	"M"	"Neoplasms"	"C00-D48"	151	8304842	1.8
	"9 years"	"9"	"Male"	"M"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	11	8304842	Unreliable
	"9 years"	"9"	"Male"	"M"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	48	8304842	0.6
	"9 years"	"9"	"Male"	"M"	"Diseases of the nervous system"	"G00-G98"	93	8304842	1.1
	"9 years"	"9"	"Male"	"M"	"Diseases of the circulatory system"	"I00-I99"	43	8304842	0.5
	"9 years"	"9"	"Male"	"M"	"Diseases of the respiratory system"	"J00-J98"	70	8304842	0.8
	"9 years"	"9"	"Male"	"M"	"Diseases of the digestive system"	"K00-K92"	17	8304842	Unreliable
	"9 years"	"9"	"Male"	"M"	"Certain conditions originating in the perinatal period"	"P00-P96"	10	8304842	Unreliable
	"9 years"	"9"	"Male"	"M"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	66	8304842	0.8
	"9 years"	"9"	"Male"	"M"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	29	8304842	0.3
	"9 years"	"9"	"Male"	"M"	"Codes for special purposes"	"U00-U99"	16	8304842	Unreliable
	"9 years"	"9"	"Male"	"M"	"External causes of morbidity and mortality"	"V01-Y89"	393	8304842	4.7
	"10 years"	"10"	"Female"	"F"	"Certain infectious and parasitic diseases"	"A00-B99"	20	8031800	0.2
	"10 years"	"10"	"Female"	"F"	"Neoplasms"	"C00-D48"	150	8031800	1.9
	"10 years"	"10"	"Female"	"F"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	34	8031800	0.4
	"10 years"	"10"	"Female"	"F"	"Diseases of the nervous system"	"G00-G98"	83	8031800	1.0
	"10 years"	"10"	"Female"	"F"	"Diseases of the circulatory system"	"I00-I99"	45	8031800	0.6
