"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"ICD Sub-Chapter"	"ICD Sub-Chapter Code"	Deaths	Population	Crude Rate
	"9 years"	"9"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	10	16254435	Unreliable
	"10 years"	"10"	"Transport accidents"	"V01-V99"	314	16422679	1.9
	"10 years"	"10"	"Other external causes of accidental injury"	"W00-X59"	185	16422679	1.1
	"10 years"	"10"	"Intentional self-harm"	"X60-X84"	84	16422679	0.5
	"10 years"	"10"	"Assault"	"X85-Y09"	116	16422679	0.7
	"10 years"	"10"	"Event of undetermined intent"	"Y10-Y34"	27	16422679	0.2
	"10 years"	"10"	"Complications of medical and surgical care"	"Y40-Y84"	13	16422679	Unreliable
	"11 years"	"11"	"Transport accidents"	"V01-V99"	335	16654668	2.0
	"11 years"	"11"	"Other external causes of accidental injury"	"W00-X59"	195	16654668	1.2
	"11 years"	"11"	"Intentional self-harm"	"X60-X84"	181	16654668	1.1
	"11 years"	"11"	"Assault"	"X85-Y09"	112	16654668	0.7
	"11 years"	"11"	"Event of undetermined intent"	"Y10-Y34"	33	16654668	0.2
	"11 years"	"11"	"Complications of medical and surgical care"	"Y40-Y84"	12	16654668	Unreliable
	"11 years"	"11"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	11	16654668	Unreliable
	"12 years"	"12"	"Transport accidents"	"V01-V99"	351	16857164	2.1
	"12 years"	"12"	"Other external causes of accidental injury"	"W00-X59"	188	16857164	1.1
	"12 years"	"12"	"Intentional self-harm"	"X60-X84"	400	16857164	2.4
	"12 years"	"12"	"Assault"	"X85-Y09"	126	16857164	0.7
	"12 years"	"12"	"Event of undetermined intent"	"Y10-Y34"	37	16857164	0.2
	"12 years"	"12"	"Complications of medical and surgical care"	"Y40-Y84"	16	16857164	Unreliable
	"12 years"	"12"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	18	16857164	Unreliable
	"13 years"	"13"	"Transport accidents"	"V01-V99"	447	16994610	2.6
	"13 years"	"13"	"Other external causes of accidental injury"	"W00-X59"	263	16994610	1.5
	"13 years"	"13"	"Intentional self-harm"	"X60-X84"	667	16994610	3.9
	"13 years"	"13"	"Assault"	"X85-Y09"	178	16994610	1.0
	"13 years"	"13"	"Event of undetermined intent"	"Y10-Y34"	39	16994610	0.2
	"13 years"	"13"	"Complications of medical and surgical care"	"Y40-Y84"	10	16994610	Unreliable
	"14 years"	"14"	"Transport accidents"	"V01-V99"	621	16950881	3.7
	"14 years"	"14"	"Other external causes of accidental injury"	"W00-X59"	333	16950881	2.0
	"14 years"	"14"	"Intentional self-harm"	"X60-X84"	975	16950881	5.8
	"14 years"	"14"	"Assault"	"X85-Y09"	395	16950881	2.3
	"14 years"	"14"	"Event of undetermined intent"	"Y10-Y34"	45	16950881	0.3
	"14 years"	"14"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	11	16950881	Unreliable
	"15 years"	"15"	"Transport accidents"	"V01-V99"	830	16848523	4.9
	"15 years"	"15"	"Other external causes of accidental injury"	"W00-X59"	458	16848523	2.7
	"15 years"	"15"	"Intentional self-harm"	"X60-X84"	1285	16848523	7.6
	"15 years"	"15"	"Assault"	"X85-Y09"	717	16848523	4.3
	"15 years"	"15"	"Event of undetermined intent"	"Y10-Y34"	55	16848523	0.3
	"15 years"	"15"	"Complications of medical and surgical care"	"Y40-Y84"	24	16848523	0.1
	"15 years"	"15"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	13	16848523	Unreliable
	"16 years"	"16"	"Transport accidents"	"V01-V99"	1481	16779500	8.8
	"16 years"	"16"	"Other external causes of accidental injury"	"W00-X59"	667	16779500	4.0
	"16 years"	"16"	"Intentional self-harm"	"X60-X84"	1557	16779500	9.3
	"16 years"	"16"	"Assault"	"X85-Y09"	1134	16779500	6.8
	"16 years"	"16"	"Event of undetermined intent"	"Y10-Y34"	72	16779500	0.4
	"16 years"	"16"	"Legal intervention and operations of war"	"Y35-Y36"	16	16779500	Unreliable
	"16 years"	"16"	"Complications of medical and surgical care"	"Y40-Y84"	18	16779500	Unreliable
	"16 years"	"16"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	16	16779500	Unreliable
	"17 years"	"17"	"Transport accidents"	"V01-V99"	2073	16882629	12.3
	"17 years"	"17"	"Other external causes of accidental injury"	"W00-X59"	1055	16882629	6.2
	"17 years"	"17"	"Intentional self-harm"	"X60-X84"	1724	16882629	10.2
	"17 years"	"17"	"Assault"	"X85-Y09"	1750	16882629	10.4
	"17 years"	"17"	"Event of undetermined intent"	"Y10-Y34"	95	16882629	0.6
	"17 years"	"17"	"Legal intervention and operations of war"	"Y35-Y36"	32	16882629	0.2
	"17 years"	"17"	"Complications of medical and surgical care"	"Y40-Y84"	24	16882629	0.1
	"17 years"	"17"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	22	16882629	0.1
	"18 years"	"18"	"Transport accidents"	"V01-V99"	2967	17028186	17.4
	"18 years"	"18"	"Other external causes of accidental injury"	"W00-X59"	1767	17028186	10.4
	"18 years"	"18"	"Intentional self-harm"	"X60-X84"	2091	17028186	12.3
	"18 years"	"18"	"Assault"	"X85-Y09"	2551	17028186	15.0
	"18 years"	"18"	"Event of undetermined intent"	"Y10-Y34"	149	17028186	0.9
	"18 years"	"18"	"Legal intervention and operations of war"	"Y35-Y36"	36	17028186	0.2
	"18 years"	"18"	"Complications of medical and surgical care"	"Y40-Y84"	27	17028186	0.2
	"18 years"	"18"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	13	17028186	Unreliable
	"19 years"	"19"	"Transport accidents"	"V01-V99"	3159	17138548	18.4
	"19 years"	"19"	"Other external causes of accidental injury"	"W00-X59"	2310	17138548	13.5
	"19 years"	"19"	"Intentional self-harm"	"X60-X84"	2514	17138548	14.7
	"19 years"	"19"	"Assault"	"X85-Y09"	2789	17138548	16.3
	"19 years"	"19"	"Event of undetermined intent"	"Y10-Y34"	164	17138548	1.0
	"19 years"	"19"	"Legal intervention and operations of war"	"Y35-Y36"	47	17138548	0.3
	"19 years"	"19"	"Complications of medical and surgical care"	"Y40-Y84"	17	17138548	Unreliable
	"19 years"	"19"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	21	17138548	0.1
	"20 years"	"20"	"Transport accidents"	"V01-V99"	3202	17234756	18.6
	"20 years"	"20"	"Other external causes of accidental injury"	"W00-X59"	3090	17234756	17.9
	"20 years"	"20"	"Intentional self-harm"	"X60-X84"	2557	17234756	14.8
	"20 years"	"20"	"Assault"	"X85-Y09"	2686	17234756	15.6
	"20 years"	"20"	"Event of undetermined intent"	"Y10-Y34"	184	17234756	1.1
	"20 years"	"20"	"Legal intervention and operations of war"	"Y35-Y36"	50	17234756	0.3
	"20 years"	"20"	"Complications of medical and surgical care"	"Y40-Y84"	16	17234756	Unreliable
	"20 years"	"20"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	24	17234756	0.1
	"21 years"	"21"	"Transport accidents"	"V01-V99"	3631	17201365	21.1
	"21 years"	"21"	"Other external causes of accidental injury"	"W00-X59"	3526	17201365	20.5
	"21 years"	"21"	"Intentional self-harm"	"X60-X84"	3258	17201365	18.9
	"21 years"	"21"	"Assault"	"X85-Y09"	2744	17201365	16.0
	"21 years"	"21"	"Event of undetermined intent"	"Y10-Y34"	251	17201365	1.5
	"21 years"	"21"	"Legal intervention and operations of war"	"Y35-Y36"	53	17201365	0.3
	"21 years"	"21"	"Complications of medical and surgical care"	"Y40-Y84"	21	17201365	0.1
	"21 years"	"21"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	28	17201365	0.2
	"22 years"	"22"	"Transport accidents"	"V01-V99"	3434	17205458	20.0
	"22 years"	"22"	"Other external causes of accidental injury"	"W00-X59"	4104	17205458	23.9
	"22 years"	"22"	"Intentional self-harm"	"X60-X84"	3285	17205458	19.1
	"22 years"	"22"	"Assault"	"X85-Y09"	2682	17205458	15.6
	"22 years"	"22"	"Event of undetermined intent"	"Y10-Y34"	276	17205458	1.6
	"22 years"	"22"	"Legal intervention and operations of war"	"Y35-Y36"	62	17205458	0.4
	"22 years"	"22"	"Complications of medical and surgical care"	"Y40-Y84"	23	17205458	0.1
	"22 years"	"22"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	26	17205458	0.2
	"23 years"	"23"	"Transport accidents"	"V01-V99"	3440	17366718	19.8
	"23 years"	"23"	"Other external causes of accidental injury"	"W00-X59"	4594	17366718	26.5
	"23 years"	"23"	"Intentional self-harm"	"X60-X84"	3258	17366718	18.8
	"23 years"	"23"	"Assault"	"X85-Y09"	2742	17366718	15.8
	"23 years"	"23"	"Event of undetermined intent"	"Y10-Y34"	293	17366718	1.7
	"23 years"	"23"	"Legal intervention and operations of war"	"Y35-Y36"	50	17366718	0.3
	"23 years"	"23"	"Complications of medical and surgical care"	"Y40-Y84"	20	17366718	0.1
	"23 years"	"23"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	48	17366718	0.3
	"24 years"	"24"	"Transport accidents"	"V01-V99"	3360	17616974	19.1
	"24 years"	"24"	"Other external causes of accidental injury"	"W00-X59"	5395	17616974	30.6
	"24 years"	"24"	"Intentional self-harm"	"X60-X84"	3221	17616974	18.3
	"24 years"	"24"	"Assault"	"X85-Y09"	2624	17616974	14.9
	"24 years"	"24"	"Event of undetermined intent"	"Y10-Y34"	336	17616974	1.9
	"24 years"	"24"	"Legal intervention and operations of war"	"Y35-Y36"	71	17616974	0.4
	"24 years"	"24"	"Complications of medical and surgical care"	"Y40-Y84"	28	17616974	0.2
	"24 years"	"24"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	34	17616974	0.2
	"25 years"	"25"	"Transport accidents"	"V01-V99"	3479	17915491	19.4
	"25 years"	"25"	"Other external causes of accidental injury"	"W00-X59"	6052	17915491	33.8
	"25 years"	"25"	"Intentional self-harm"	"X60-X84"	3307	17915491	18.5
	"25 years"	"25"	"Assault"	"X85-Y09"	2674	17915491	14.9
	"25 years"	"25"	"Event of undetermined intent"	"Y10-Y34"	364	17915491	2.0
	"25 years"	"25"	"Legal intervention and operations of war"	"Y35-Y36"	69	17915491	0.4
	"25 years"	"25"	"Complications of medical and surgical care"	"Y40-Y84"	28	17915491	0.2
	"25 years"	"25"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	43	17915491	0.2
	"26 years"	"26"	"Transport accidents"	"V01-V99"	3327	18282798	18.2
	"26 years"	"26"	"Other external causes of accidental injury"	"W00-X59"	6744	18282798	36.9
	"26 years"	"26"	"Intentional self-harm"	"X60-X84"	3302	18282798	18.1
	"26 years"	"26"	"Assault"	"X85-Y09"	2672	18282798	14.6
	"26 years"	"26"	"Event of undetermined intent"	"Y10-Y34"	407	18282798	2.2
	"26 years"	"26"	"Legal intervention and operations of war"	"Y35-Y36"	86	18282798	0.5
	"26 years"	"26"	"Complications of medical and surgical care"	"Y40-Y84"	33	18282798	0.2
	"26 years"	"26"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	58	18282798	0.3
	"27 years"	"27"	"Transport accidents"	"V01-V99"	3376	18657653	18.1
	"27 years"	"27"	"Other external causes of accidental injury"	"W00-X59"	7454	18657653	40.0
	"27 years"	"27"	"Intentional self-harm"	"X60-X84"	3340	18657653	17.9
	"27 years"	"27"	"Assault"	"X85-Y09"	2858	18657653	15.3
	"27 years"	"27"	"Event of undetermined intent"	"Y10-Y34"	418	18657653	2.2
	"27 years"	"27"	"Legal intervention and operations of war"	"Y35-Y36"	89	18657653	0.5
	"27 years"	"27"	"Complications of medical and surgical care"	"Y40-Y84"	36	18657653	0.2
	"27 years"	"27"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	59	18657653	0.3
	"28 years"	"28"	"Transport accidents"	"V01-V99"	3482	18926212	18.4
	"28 years"	"28"	"Other external causes of accidental injury"	"W00-X59"	8044	18926212	42.5
	"28 years"	"28"	"Intentional self-harm"	"X60-X84"	3399	18926212	18.0
	"28 years"	"28"	"Assault"	"X85-Y09"	2771	18926212	14.6
	"28 years"	"28"	"Event of undetermined intent"	"Y10-Y34"	404	18926212	2.1
	"28 years"	"28"	"Legal intervention and operations of war"	"Y35-Y36"	94	18926212	0.5
	"28 years"	"28"	"Complications of medical and surgical care"	"Y40-Y84"	34	18926212	0.2
	"28 years"	"28"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	58	18926212	0.3
	"29 years"	"29"	"Transport accidents"	"V01-V99"	3347	18912338	17.7
	"29 years"	"29"	"Other external causes of accidental injury"	"W00-X59"	8616	18912338	45.6
	"29 years"	"29"	"Intentional self-harm"	"X60-X84"	3416	18912338	18.1
	"29 years"	"29"	"Assault"	"X85-Y09"	2688	18912338	14.2
	"29 years"	"29"	"Event of undetermined intent"	"Y10-Y34"	465	18912338	2.5
	"29 years"	"29"	"Legal intervention and operations of war"	"Y35-Y36"	80	18912338	0.4
	"29 years"	"29"	"Complications of medical and surgical care"	"Y40-Y84"	32	18912338	0.2
	"29 years"	"29"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	71	18912338	0.4
	"30 years"	"30"	"Transport accidents"	"V01-V99"	3241	18667558	17.4
	"30 years"	"30"	"Other external causes of accidental injury"	"W00-X59"	8921	18667558	47.8
	"30 years"	"30"	"Intentional self-harm"	"X60-X84"	3481	18667558	18.6
	"30 years"	"30"	"Assault"	"X85-Y09"	2606	18667558	14.0
	"30 years"	"30"	"Event of undetermined intent"	"Y10-Y34"	493	18667558	2.6
	"30 years"	"30"	"Legal intervention and operations of war"	"Y35-Y36"	76	18667558	0.4
	"30 years"	"30"	"Complications of medical and surgical care"	"Y40-Y84"	44	18667558	0.2
	"30 years"	"30"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	59	18667558	0.3
	"31 years"	"31"	"Transport accidents"	"V01-V99"	2937	18296575	16.1
	"31 years"	"31"	"Other external causes of accidental injury"	"W00-X59"	9029	18296575	49.3
	"31 years"	"31"	"Intentional self-harm"	"X60-X84"	3410	18296575	18.6
	"31 years"	"31"	"Assault"	"X85-Y09"	2468	18296575	13.5
	"31 years"	"31"	"Event of undetermined intent"	"Y10-Y34"	499	18296575	2.7
	"31 years"	"31"	"Legal intervention and operations of war"	"Y35-Y36"	98	18296575	0.5
	"31 years"	"31"	"Complications of medical and surgical care"	"Y40-Y84"	36	18296575	0.2
	"31 years"	"31"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	71	18296575	0.4
	"32 years"	"32"	"Transport accidents"	"V01-V99"	3073	17982281	17.1
	"32 years"	"32"	"Other external causes of accidental injury"	"W00-X59"	9117	17982281	50.7
	"32 years"	"32"	"Intentional self-harm"	"X60-X84"	3321	17982281	18.5
	"32 years"	"32"	"Assault"	"X85-Y09"	2210	17982281	12.3
	"32 years"	"32"	"Event of undetermined intent"	"Y10-Y34"	496	17982281	2.8
	"32 years"	"32"	"Legal intervention and operations of war"	"Y35-Y36"	97	17982281	0.5
	"32 years"	"32"	"Complications of medical and surgical care"	"Y40-Y84"	62	17982281	0.3
	"32 years"	"32"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	66	17982281	0.4
	"33 years"	"33"	"Transport accidents"	"V01-V99"	2898	17858674	16.2
	"33 years"	"33"	"Other external causes of accidental injury"	"W00-X59"	9290	17858674	52.0
	"33 years"	"33"	"Intentional self-harm"	"X60-X84"	3252	17858674	18.2
	"33 years"	"33"	"Assault"	"X85-Y09"	2138	17858674	12.0
	"33 years"	"33"	"Event of undetermined intent"	"Y10-Y34"	517	17858674	2.9
	"33 years"	"33"	"Legal intervention and operations of war"	"Y35-Y36"	99	17858674	0.6
	"33 years"	"33"	"Complications of medical and surgical care"	"Y40-Y84"	50	17858674	0.3
	"33 years"	"33"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	79	17858674	0.4
	"34 years"	"34"	"Transport accidents"	"V01-V99"	2854	17703266	16.1
	"34 years"	"34"	"Other external causes of accidental injury"	"W00-X59"	9180	17703266	51.9
	"34 years"	"34"	"Intentional self-harm"	"X60-X84"	3139	17703266	17.7
	"34 years"	"34"	"Assault"	"X85-Y09"	2039	17703266	11.5
	"34 years"	"34"	"Event of undetermined intent"	"Y10-Y34"	489	17703266	2.8
	"34 years"	"34"	"Legal intervention and operations of war"	"Y35-Y36"	95	17703266	0.5
	"34 years"	"34"	"Complications of medical and surgical care"	"Y40-Y84"	67	17703266	0.4
	"34 years"	"34"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	88	17703266	0.5
	"35 years"	"35"	"Transport accidents"	"V01-V99"	2813	17651881	15.9
	"35 years"	"35"	"Other external causes of accidental injury"	"W00-X59"	9513	17651881	53.9
	"35 years"	"35"	"Intentional self-harm"	"X60-X84"	3193	17651881	18.1
	"35 years"	"35"	"Assault"	"X85-Y09"	1914	17651881	10.8
	"35 years"	"35"	"Event of undetermined intent"	"Y10-Y34"	478	17651881	2.7
	"35 years"	"35"	"Legal intervention and operations of war"	"Y35-Y36"	86	17651881	0.5
	"35 years"	"35"	"Complications of medical and surgical care"	"Y40-Y84"	58	17651881	0.3
	"35 years"	"35"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	80	17651881	0.5
	"36 years"	"36"	"Transport accidents"	"V01-V99"	2647	17548982	15.1
	"36 years"	"36"	"Other external causes of accidental injury"	"W00-X59"	9378	17548982	53.4
	"36 years"	"36"	"Intentional self-harm"	"X60-X84"	3186	17548982	18.2
	"36 years"	"36"	"Assault"	"X85-Y09"	1857	17548982	10.6
	"36 years"	"36"	"Event of undetermined intent"	"Y10-Y34"	524	17548982	3.0
	"36 years"	"36"	"Legal intervention and operations of war"	"Y35-Y36"	75	17548982	0.4
	"36 years"	"36"	"Complications of medical and surgical care"	"Y40-Y84"	73	17548982	0.4
	"36 years"	"36"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	88	17548982	0.5
	"37 years"	"37"	"Transport accidents"	"V01-V99"	2684	17445850	15.4
	"37 years"	"37"	"Other external causes of accidental injury"	"W00-X59"	9419	17445850	54.0
	"37 years"	"37"	"Intentional self-harm"	"X60-X84"	3121	17445850	17.9
	"37 years"	"37"	"Assault"	"X85-Y09"	1817	17445850	10.4
	"37 years"	"37"	"Event of undetermined intent"	"Y10-Y34"	496	17445850	2.8
	"37 years"	"37"	"Legal intervention and operations of war"	"Y35-Y36"	78	17445850	0.4
	"37 years"	"37"	"Complications of medical and surgical care"	"Y40-Y84"	64	17445850	0.4
	"37 years"	"37"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	96	17445850	0.6
	"38 years"	"38"	"Transport accidents"	"V01-V99"	2693	17522774	15.4
	"38 years"	"38"	"Other external causes of accidental injury"	"W00-X59"	9424	17522774	53.8
	"38 years"	"38"	"Intentional self-harm"	"X60-X84"	3173	17522774	18.1
	"38 years"	"38"	"Assault"	"X85-Y09"	1760	17522774	10.0
	"38 years"	"38"	"Event of undetermined intent"	"Y10-Y34"	537	17522774	3.1
	"38 years"	"38"	"Legal intervention and operations of war"	"Y35-Y36"	74	17522774	0.4
	"38 years"	"38"	"Complications of medical and surgical care"	"Y40-Y84"	59	17522774	0.3
	"38 years"	"38"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	82	17522774	0.5
	"39 years"	"39"	"Transport accidents"	"V01-V99"	2634	17259243	15.3
	"39 years"	"39"	"Other external causes of accidental injury"	"W00-X59"	9435	17259243	54.7
	"39 years"	"39"	"Intentional self-harm"	"X60-X84"	3175	17259243	18.4
	"39 years"	"39"	"Assault"	"X85-Y09"	1718	17259243	10.0
	"39 years"	"39"	"Event of undetermined intent"	"Y10-Y34"	492	17259243	2.9
	"39 years"	"39"	"Legal intervention and operations of war"	"Y35-Y36"	70	17259243	0.4
	"39 years"	"39"	"Complications of medical and surgical care"	"Y40-Y84"	85	17259243	0.5
	"39 years"	"39"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	95	17259243	0.6
	"40 years"	"40"	"Transport accidents"	"V01-V99"	2539	16907380	15.0
	"40 years"	"40"	"Other external causes of accidental injury"	"W00-X59"	9144	16907380	54.1
	"40 years"	"40"	"Intentional self-harm"	"X60-X84"	2995	16907380	17.7
	"40 years"	"40"	"Assault"	"X85-Y09"	1545	16907380	9.1
	"40 years"	"40"	"Event of undetermined intent"	"Y10-Y34"	497	16907380	2.9
	"40 years"	"40"	"Legal intervention and operations of war"	"Y35-Y36"	81	16907380	0.5
	"40 years"	"40"	"Complications of medical and surgical care"	"Y40-Y84"	80	16907380	0.5
	"40 years"	"40"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	91	16907380	0.5
	"41 years"	"41"	"Transport accidents"	"V01-V99"	2441	16479420	14.8
	"41 years"	"41"	"Other external causes of accidental injury"	"W00-X59"	8671	16479420	52.6
	"41 years"	"41"	"Intentional self-harm"	"X60-X84"	2920	16479420	17.7
	"41 years"	"41"	"Assault"	"X85-Y09"	1544	16479420	9.4
	"41 years"	"41"	"Event of undetermined intent"	"Y10-Y34"	478	16479420	2.9
	"41 years"	"41"	"Legal intervention and operations of war"	"Y35-Y36"	64	16479420	0.4
	"41 years"	"41"	"Complications of medical and surgical care"	"Y40-Y84"	91	16479420	0.6
	"41 years"	"41"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	103	16479420	0.6
	"42 years"	"42"	"Transport accidents"	"V01-V99"	2325	16048845	14.5
	"42 years"	"42"	"Other external causes of accidental injury"	"W00-X59"	8111	16048845	50.5
	"42 years"	"42"	"Intentional self-harm"	"X60-X84"	2834	16048845	17.7
	"42 years"	"42"	"Assault"	"X85-Y09"	1346	16048845	8.4
	"42 years"	"42"	"Event of undetermined intent"	"Y10-Y34"	409	16048845	2.5
	"42 years"	"42"	"Legal intervention and operations of war"	"Y35-Y36"	62	16048845	0.4
	"42 years"	"42"	"Complications of medical and surgical care"	"Y40-Y84"	81	16048845	0.5
	"42 years"	"42"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	96	16048845	0.6
	"43 years"	"43"	"Transport accidents"	"V01-V99"	2218	15900461	13.9
	"43 years"	"43"	"Other external causes of accidental injury"	"W00-X59"	7793	15900461	49.0
	"43 years"	"43"	"Intentional self-harm"	"X60-X84"	2811	15900461	17.7
	"43 years"	"43"	"Assault"	"X85-Y09"	1287	15900461	8.1
	"43 years"	"43"	"Event of undetermined intent"	"Y10-Y34"	403	15900461	2.5
	"43 years"	"43"	"Legal intervention and operations of war"	"Y35-Y36"	48	15900461	0.3
	"43 years"	"43"	"Complications of medical and surgical care"	"Y40-Y84"	91	15900461	0.6
	"43 years"	"43"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	91	15900461	0.6
	"44 years"	"44"	"Transport accidents"	"V01-V99"	2187	15712242	13.9
	"44 years"	"44"	"Other external causes of accidental injury"	"W00-X59"	7496	15712242	47.7
	"44 years"	"44"	"Intentional self-harm"	"X60-X84"	2795	15712242	17.8
	"44 years"	"44"	"Assault"	"X85-Y09"	1130	15712242	7.2
	"44 years"	"44"	"Event of undetermined intent"	"Y10-Y34"	370	15712242	2.4
	"44 years"	"44"	"Legal intervention and operations of war"	"Y35-Y36"	48	15712242	0.3
